Neighborhood,Anchor,Population
Melrose,"/wiki/Melrose,_Bronx",24913.0
Mott Haven,"/wiki/Mott_Haven,_Bronx",52413.0
Port Morris,"/wiki/Port_Morris,_Bronx",3523.0
Hunts Point,"/wiki/Hunts_Point,_Bronx",12281.0
Longwood,"/wiki/Longwood,_Bronx",26196.0
Claremont,"/wiki/Claremont,_Bronx",16863.0
Morrisania,"/wiki/Morrisania,_Bronx",16863.0
Highbridge,"/wiki/Highbridge,_Bronx",37727.0
Fordham,"/wiki/Fordham,_Bronx",43394.0
Morris Heights,"/wiki/Morris_Heights,_Bronx",36779.0
Mount Hope,"/wiki/Mount_Hope,_Bronx",24739.0
University Heights,"/wiki/University_Heights,_Bronx",25702.0
Bathgate,"/wiki/Bathgate,_Bronx",27378.0
Belmont,"/wiki/Belmont,_Bronx",27378.0
East Tremont,"/wiki/East_Tremont,_Bronx",43423.0
West Farms,"/wiki/West_Farms,_Bronx",4700.0
Bedford Park,"/wiki/Bedford_Park,_Bronx",37344.0
Norwood,"/wiki/Norwood,_Bronx",40494.0
University Heights,"/wiki/University_Heights,_Bronx",25702.0
Fieldston,"/wiki/Fieldston,_Bronx",3292.0
Kingsbridge,"/wiki/Kingsbridge,_Bronx",10669.0
Marble Hill,"/wiki/Marble_Hill,_Manhattan",9481.0
Riverdale,"/wiki/Riverdale,_Bronx",48049.0
Spuyten Duyvil,"/wiki/Spuyten_Duyvil,_Bronx",10279.0
Van Cortlandt Village,"/wiki/Van_Cortlandt_Village,_Bronx",50100.0
Bruckner,"/wiki/Bruckner,_Bronx",38557.0
Castle Hill,"/wiki/Castle_Hill,_Bronx",38557.0
Clason Point,"/wiki/Clason_Point,_Bronx",9136.0
Harding Park,"/wiki/Harding_Park,_Bronx",9136.0
Parkchester,"/wiki/Parkchester,_Bronx",40358.0
Soundview,"/wiki/Soundview,_Bronx",31825.0
Unionport,"/wiki/Unionport,_Bronx",38557.0
Co-op City,"/wiki/Co-op_City,_Bronx",43752.0
Locust Point,"/wiki/Locust_Point,_Bronx",1479.0
Pelham Bay,"/wiki/Pelham_Bay_(neighborhood),_Bronx",11931.0
Silver Beach,"/wiki/Silver_Beach,_Bronx",21009.0
Throgs Neck,"/wiki/Throgs_Neck,_Bronx",21009.0
Pelham Gardens,"/wiki/Pelham_Gardens,_Bronx",15388.0
Pelham Parkway,"/wiki/Pelham_Parkway_(neighborhood),_Bronx",30073.0
Baychester,"/wiki/Baychester,_Bronx",63345.0
Fish Bay,"/wiki/Fish_Bay,_Bronx",63345.0
Olinville,"/wiki/Olinville,_Bronx",61321.0
Wakefield,"/wiki/Wakefield,_Bronx",29158.0
Williamsbridge,"/wiki/Williamsbridge,_Bronx",61321.0
Woodlawn,"/wiki/Woodlawn,_Bronx",42483.0
Greenpoint,"/wiki/Greenpoint,_Brooklyn",34719.0
Williamsburg,"/wiki/Williamsburg,_Brooklyn",78700.0
Brooklyn Heights,"/wiki/Brooklyn_Heights,_Brooklyn",20256.0
Clinton Hill,"/wiki/Clinton_Hill,_Brooklyn",34791.0
Dumbo,"/wiki/Dumbo,_Brooklyn",1139.0
Fort Greene,"/wiki/Fort_Greene,_Brooklyn",28335.0
Vinegar Hill,"/wiki/Vinegar_Hill,_Brooklyn",2671.0
Bedford-Stuyvesant,"/wiki/Bedford-Stuyvesant,_Brooklyn",157530.0
Stuyvesant Heights,"/wiki/Stuyvesant_Heights,_Brooklyn",157530.0
Bushwick,"/wiki/Bushwick,_Brooklyn",129239.0
Carroll Gardens,"/wiki/Carroll_Gardens,_Brooklyn",12853.0
Park Slope,"/wiki/Park_Slope,_Brooklyn",67645.0
Sunset Park,"/wiki/Sunset_Park,_Brooklyn",126000.0
Windsor Terrace,"/wiki/Windsor_Terrace,_Brooklyn",20988.0
Crown Heights,"/wiki/Crown_Heights,_Brooklyn",143000.0
Prospect Heights,"/wiki/Prospect_Heights,_Brooklyn",67645.0
Crown Heights,"/wiki/Crown_Heights,_Brooklyn",143000.0
Prospect Lefferts Gardens,"/wiki/Prospect_Lefferts_Gardens,_Brooklyn",99287.0
Bay Ridge,"/wiki/Bay_Ridge,_Brooklyn",79371.0
Dyker Heights,"/wiki/Dyker_Heights,_Brooklyn",42419.0
Bath Beach,"/wiki/Bath_Beach,_Brooklyn",29931.0
Bensonhurst,"/wiki/Bensonhurst,_Brooklyn",151705.0
Gravesend,"/wiki/Gravesend,_Brooklyn",29436.0
Borough Park,"/wiki/Borough_Park,_Brooklyn",106357.0
Midwood,"/wiki/Midwood,_Brooklyn",52835.0
Bensonhurst,"/wiki/Bensonhurst,_Brooklyn",151705.0
Brighton Beach,"/wiki/Brighton_Beach,_Brooklyn",35547.0
Coney Island,"/wiki/Coney_Island,_Brooklyn",24711.0
Gravesend,"/wiki/Gravesend,_Brooklyn",29436.0
Flatbush,"/wiki/Flatbush,_Brooklyn",105804.0
Midwood,"/wiki/Midwood,_Brooklyn",52835.0
East Gravesend,"/wiki/East_Gravesend,_Brooklyn",29436.0
Homecrest,"/wiki/Homecrest,_Brooklyn",44316.0
Brownsville,"/wiki/Brownsville,_Brooklyn",58300.0
East Flatbush,"/wiki/East_Flatbush,_Brooklyn",135619.0
Erasmus,"/wiki/Erasmus,_Brooklyn",135619.0
Farragut,"/wiki/Farragut,_Brooklyn",135619.0
Rugby,"/wiki/Rugby,_Brooklyn",135619.0
Bergen Beach,"/wiki/Bergen_Beach,_Brooklyn",45231.0
Canarsie,"/wiki/Canarsie,_Brooklyn",83693.0
Flatlands,"/wiki/Flatlands,_Brooklyn",64762.0
Georgetown,"/wiki/Georgetown,_Brooklyn",45231.0
Marine Park,"/wiki/Marine_Park_(neighborhood),_Brooklyn",45231.0
Mill Basin,"/wiki/Mill_Basin,_Brooklyn",45231.0
Mill Island,"/wiki/Mill_Island,_Brooklyn",45231.0
Battery Park City,"/wiki/Battery_Park_City,_Manhattan",9252.0
Financial District,"/wiki/Financial_District,_Manhattan",57627.0
Tribeca,"/wiki/Tribeca,_Manhattan",17362.0
Chinatown,"/wiki/Chinatown,_Manhattan",47844.0
Greenwich Village,"/wiki/Greenwich_Village,_Manhattan",22785.0
Lower East Side,"/wiki/Lower_East_Side,_Manhattan",72957.0
SoHo,"/wiki/SoHo,_Manhattan",19573.0
Alphabet City,"/wiki/Alphabet_City,_Manhattan",63347.0
Chinatown,"/wiki/Chinatown,_Manhattan",47844.0
East Village,"/wiki/East_Village,_Manhattan",63347.0
Lower East Side,"/wiki/Lower_East_Side,_Manhattan",72957.0
Chelsea,"/wiki/Chelsea,_Manhattan",47325.0
Clinton,"/wiki/Clinton,_Manhattan",45884.0
Hell's Kitchen,"/wiki/Hell%27s_Kitchen,_Manhattan",45884.0
Hudson Yards,"/wiki/Hudson_Yards_(neighborhood),_Manhattan",70150.0
Midtown,/wiki/Midtown_Manhattan,104753.0
Gramercy Park,"/wiki/Gramercy_Park,_Manhattan",27988.0
Kips Bay,"/wiki/Kips_Bay,_Manhattan",50742.0
Murray Hill,"/wiki/Murray_Hill,_Manhattan",10864.0
Peter Cooper Village,/wiki/Peter_Cooper_Village,21049.0
Stuyvesant Town,/wiki/Stuyvesant_Town,21049.0
Turtle Bay,"/wiki/Turtle_Bay,_Manhattan",24856.0
Upper West Side,"/wiki/Upper_West_Side,_Manhattan",214744.0
Upper East Side,"/wiki/Upper_East_Side,_Manhattan",124231.0
Yorkville,"/wiki/Yorkville,_Manhattan",35221.0
Hamilton Heights,"/wiki/Hamilton_Heights,_Manhattan",47531.0
Manhattanville,"/wiki/Manhattanville,_Manhattan",40568.0
Morningside Heights,"/wiki/Morningside_Heights,_Manhattan",31884.0
Harlem,"/wiki/Harlem,_Manhattan",116345.0
East Harlem,"/wiki/East_Harlem,_Manhattan",115921.0
Spanish Harlem,"/wiki/Spanish_Harlem,_Manhattan",115921.0
Inwood,"/wiki/Inwood,_Manhattan",58946.0
Washington Heights,"/wiki/Washington_Heights,_Manhattan",201590.0
Dutch Kills,"/wiki/Dutch_Kills,_Queens",20030.0
Long Island City,/wiki/Long_Island_City,20030.0
Blissville,"/wiki/Blissville,_Queens",20030.0
Hunters Point,"/wiki/Hunters_Point,_Queens",20030.0
Long Island City,"/wiki/Long_Island_City,_Queens",20030.0
Sunnyside,"/wiki/Sunnyside,_Queens",63271.0
Sunnyside Gardens,"/wiki/Sunnyside_Gardens,_Queens",63271.0
Woodside,"/wiki/Woodside,_Queens",45099.0
East Elmhurst,"/wiki/East_Elmhurst,_Queens",23150.0
Jackson Heights,"/wiki/Jackson_Heights,_Queens",108152.0
North Corona,"/wiki/North_Corona,_Queens",109695.0
Corona,"/wiki/Corona,_Queens",109695.0
Elmhurst,"/wiki/Elmhurst,_Queens",88427.0
Glendale,"/wiki/Glendale,_Queens",32496.0
Middle Village,"/wiki/Middle_Village,_Queens",37929.0
Liberty Park,"/wiki/Liberty_Park,_Queens",69317.0
Ridgewood,"/wiki/Ridgewood,_Queens",69317.0
Forest Hills,"/wiki/Forest_Hills,_Queens",83728.0
Rego Park,"/wiki/Rego_Park,_Queens",28260.0
Bay Terrace,"/wiki/Bay_Terrace,_Queens",43808.0
College Point,"/wiki/College_Point,_Queens",24069.0
Willets Point,"/wiki/Willets_Point,_Queens",10.0
Briarwood,"/wiki/Briarwood,_Queens",53877.0
Fresh Meadows,"/wiki/Fresh_Meadows,_Queens",17812.0
Holliswood,"/wiki/Holliswood,_Queens",20269.0
Kew Gardens Hills,"/wiki/Kew_Gardens_Hills,_Queens",37479.0
Utopia,"/wiki/Utopia,_Queens",17812.0
Kew Gardens,"/wiki/Kew_Gardens,_Queens",23278.0
Richmond Hill,"/wiki/Richmond_Hill,_Queens",62982.0
Woodhaven,"/wiki/Woodhaven,_Queens",56674.0
Howard Beach,"/wiki/Howard_Beach,_Queens",26148.0
Lindenwood,"/wiki/Lindenwood,_Queens",26148.0
Richmond Hill,"/wiki/Richmond_Hill,_Queens",62982.0
South Ozone Park,"/wiki/South_Ozone_Park,_Queens",75878.0
Bayside,"/wiki/Bayside,_Queens",43808.0
Douglaston,"/wiki/Douglaston,_Queens",17823.0
East Flushing,"/wiki/East_Flushing,_Queens",10000.0
Hollis Hills,"/wiki/Hollis_Hills,_Queens",52504.0
Little Neck,"/wiki/Little_Neck,_Queens",17823.0
Oakland Gardens,"/wiki/Oakland_Gardens,_Queens",43808.0
Baisley Park,"/wiki/Baisley_Park,_Queens",32496.0
Hollis,"/wiki/Hollis,_Queens",20269.0
South Jamaica,"/wiki/South_Jamaica,_Queens",32496.0
Springfield Gardens,"/wiki/Springfield_Gardens,_Queens",39827.0
Brookville,"/wiki/Brookville,_Queens",39827.0
Cambria Heights,"/wiki/Cambria_Heights,_Queens",18677.0
Floral Park,"/wiki/Floral_Park,_Queens",15863.0
Glen Oaks,"/wiki/Glen_Oaks,_Queens",29506.0
Laurelton,"/wiki/Laurelton,_Queens",24453.0
Meadowmere,"/wiki/Meadowmere,_Queens",60.0
New Hyde Park,"/wiki/New_Hyde_Park,_Queens",9712.0
Queens Village,"/wiki/Queens_Village,_Queens",52504.0
Rosedale,"/wiki/Rosedale,_Queens",25063.0
Arverne,"/wiki/Arverne,_Queens",18540.0
Breezy Point,"/wiki/Breezy_Point,_Queens",4079.0
Far Rockaway,"/wiki/Far_Rockaway,_Queens",60035.0
Neponsit,"/wiki/Neponsit,_Queens",2000.0
New Brighton,"/wiki/New_Brighton,_Staten_Island",5795.0
Port Richmond,"/wiki/Port_Richmond,_Staten_Island",18516.0
St. George,"/wiki/St._George,_Staten_Island",8662.0
Stapleton,"/wiki/Stapleton,_Staten_Island",37669.0
West Brighton,"/wiki/West_Brighton,_Staten_Island",20099.0
Dongan Hills,"/wiki/Dongan_Hills,_Staten_Island",16375.0
Midland Beach,"/wiki/Midland_Beach,_Staten_Island",21456.0
New Dorp,"/wiki/New_Dorp,_Staten_Island",28225.0
Ocean Breeze,"/wiki/Ocean_Breeze,_Staten_Island",8575.0
South Beach,"/wiki/South_Beach,_Staten_Island",8575.0
Great Kills,"/wiki/Great_Kills,_Staten_Island",40720.0
Tottenville,"/wiki/Tottenville,_Staten_Island",14945.0
